strength,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
0.5,p07,789,23.519,0.278835,0.28125,-0.389372,0.267052,0.369762,reports/experiments/exp5_sdxl/images/strength_0.5/p07_seed789.png
0.5,p07,1337,23.351,0.286376,0.285889,0.472567,0.259472,0.379643,reports/experiments/exp5_sdxl/images/strength_0.5/p07_seed1337.png
0.5,p08,42,23.506,0.290854,0.3125,-1.192435,0.119427,0.128519,reports/experiments/exp5_sdxl/images/strength_0.5/p08_seed42.png
0.5,p08,123,23.521,0.288861,0.301514,-1.246528,0.279326,0.429421,reports/experiments/exp5_sdxl/images/strength_0.5/p08_seed123.png
0.5,p08,456,23.515,0.298559,0.311035,-1.29594,0.237043,0.489133,reports/experiments/exp5_sdxl/images/strength_0.5/p08_seed456.png
0.5,p08,789,23.425,0.290484,0.308838,-1.417927,0.262011,0.363752,reports/experiments/exp5_sdxl/images/strength_0.5/p08_seed789.png
0.5,p08,1337,23.606,0.322562,0.29834,-1.288904,0.22965,0.435283,reports/experiments/exp5_sdxl/images/strength_0.5/p08_seed1337.png
0.75,p01,42,23.444,0.271832,0.246094,0.435514,0.050781,0.151137,reports/experiments/exp5_sdxl/images/strength_0.75/p01_seed42.png
0.75,p01,123,23.49,0.309805,0.234985,0.435604,0.112884,0.246794,reports/experiments/exp5_sdxl/images/strength_0.75/p01_seed123.png
0.75,p01,456,23.495,0.305712,0.238037,0.173816,0.114211,0.253782,reports/experiments/exp5_sdxl/images/strength_0.75/p01_seed456.png
0.75,p01,789,23.527,0.305848,0.230103,0.329244,0.105148,0.249449,reports/experiments/exp5_sdxl/images/strength_0.75/p01_seed789.png
0.75,p01,1337,23.372,0.320378,0.237793,0.503419,0.102458,0.238189,reports/experiments/exp5_sdxl/images/strength_0.75/p01_seed1337.png
0.75,p02,42,23.527,0.339835,0.306641,1.250576,0.120047,0.095362,reports/experiments/exp5_sdxl/images/strength_0.75/p02_seed42.png
