strength,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.5,pp_005,1337,6.193,0.391811,0.651079,0.684643,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_005_seed1337.png
0.5,pp_006,42,6.207,0.322344,0.523546,0.411811,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_006_seed42.png
0.5,pp_006,123,6.162,0.302957,0.358212,0.439867,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_006_seed123.png
0.5,pp_006,456,6.263,0.294796,0.686484,0.229993,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_006_seed456.png
0.5,pp_006,789,5.931,0.302608,0.603045,0.271032,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_006_seed789.png
0.5,pp_006,1337,6.029,0.306549,0.364934,0.22355,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_006_seed1337.png
0.5,pp_007,42,5.208,0.308236,0.544422,0.641103,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_007_seed42.png
0.5,pp_007,123,5.147,0.310652,0.561168,0.576427,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_007_seed123.png
0.5,pp_007,456,5.427,0.281661,0.398427,0.448089,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_007_seed456.png
0.5,pp_007,789,5.755,0.289973,0.575862,0.608596,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_007_seed789.png
0.5,pp_007,1337,6.268,0.286268,0.63922,0.36378,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_007_seed1337.png
0.5,pp_008,42,6.003,0.343328,0.500004,0.572175,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_008_seed42.png
0.5,pp_008,123,6.123,0.256668,0.578034,0.576517,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_008_seed123.png
0.5,pp_008,456,6.155,0.275905,0.437836,0.395104,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_008_seed456.png
0.5,pp_008,789,6.04,0.252944,0.785045,0.542887,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_008_seed789.png
0.5,pp_008,1337,6.2,0.307719,0.642465,0.609735,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_008_seed1337.png
0.75,pp_001,42,6.12,0.214227,0.371462,0.51389,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_001_seed42.png
0.75,pp_001,123,6.061,0.229746,0.249286,0.483756,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_001_seed123.png
0.75,pp_001,456,6.015,0.247717,0.414784,0.417147,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_001_seed456.png
0.75,pp_001,789,6.255,0.256376,0.275801,0.423079,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_001_seed789.png
0.75,pp_001,1337,5.997,0.242099,0.323398,0.520097,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_001_seed1337.png
0.75,pp_002,42,5.968,0.312688,0.193299,0.303493,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_002_seed42.png
0.75,pp_002,123,6.581,0.305468,0.133029,0.237657,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_002_seed123.png
0.75,pp_002,456,6.123,0.328537,0.18422,0.352729,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_002_seed456.png
0.75,pp_002,789,6.063,0.328907,0.139289,0.271459,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_002_seed789.png
0.75,pp_002,1337,6.217,0.323088,0.179455,0.207794,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_002_seed1337.png
