cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
5,p03_abstract,123,5.616,0.318474,0.399362,0.413641,reports/experiments/exp3_cfg_sweep/images/cfg_5/p03_abstract_seed123.png
5,p03_abstract,456,5.741,0.333836,0.405821,0.456124,reports/experiments/exp3_cfg_sweep/images/cfg_5/p03_abstract_seed456.png
5,p03_abstract,789,5.811,0.325959,0.264998,0.432891,reports/experiments/exp3_cfg_sweep/images/cfg_5/p03_abstract_seed789.png
5,p03_abstract,1337,5.69,0.307205,0.430081,0.573047,reports/experiments/exp3_cfg_sweep/images/cfg_5/p03_abstract_seed1337.png
5,p04_text,42,5.729,0.270695,0.458197,0.501884,reports/experiments/exp3_cfg_sweep/images/cfg_5/p04_text_seed42.png
5,p04_text,123,5.417,0.273924,0.319801,0.310019,reports/experiments/exp3_cfg_sweep/images/cfg_5/p04_text_seed123.png
5,p04_text,456,5.844,0.289612,0.357386,0.461563,reports/experiments/exp3_cfg_sweep/images/cfg_5/p04_text_seed456.png
5,p04_text,789,5.386,0.270541,0.307088,0.333026,reports/experiments/exp3_cfg_sweep/images/cfg_5/p04_text_seed789.png
5,p04_text,1337,5.462,0.294468,0.43859,0.617896,reports/experiments/exp3_cfg_sweep/images/cfg_5/p04_text_seed1337.png
5,p05_texture,42,5.365,0.327807,0.184031,0.218431,reports/experiments/exp3_cfg_sweep/images/cfg_5/p05_texture_seed42.png
5,p05_texture,123,5.504,0.274625,0.345349,0.2519,reports/experiments/exp3_cfg_sweep/images/cfg_5/p05_texture_seed123.png
5,p05_texture,456,5.357,0.273019,0.203685,0.275109,reports/experiments/exp3_cfg_sweep/images/cfg_5/p05_texture_seed456.png
5,p05_texture,789,5.801,0.310255,0.45497,0.465357,reports/experiments/exp3_cfg_sweep/images/cfg_5/p05_texture_seed789.png
5,p05_texture,1337,5.672,0.309356,0.264764,0.397439,reports/experiments/exp3_cfg_sweep/images/cfg_5/p05_texture_seed1337.png
5,p06_arch,42,6.086,0.294209,0.317666,0.322038,reports/experiments/exp3_cfg_sweep/images/cfg_5/p06_arch_seed42.png
5,p06_arch,123,5.726,0.293205,0.193041,0.176448,reports/experiments/exp3_cfg_sweep/images/cfg_5/p06_arch_seed123.png
