alpha,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
1.0,p01_portrait,456,6.389,0.329142,0.0,0.38757,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p01_portrait_seed456.png
1.0,p01_portrait,789,4.564,0.357718,0.0,0.52849,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p01_portrait_seed789.png
1.0,p01_portrait,1337,4.571,0.36654,0.0,0.29887,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p01_portrait_seed1337.png
1.0,p02_landscape,42,6.297,0.334001,0.0,0.28435,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p02_landscape_seed42.png
1.0,p02_landscape,123,4.476,0.368457,0.0,0.659941,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p02_landscape_seed123.png
1.0,p02_landscape,456,5.923,0.34436,0.0,0.244227,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p02_landscape_seed456.png
1.0,p02_landscape,789,4.577,0.374091,0.0,0.375439,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p02_landscape_seed789.png
1.0,p02_landscape,1337,6.141,0.359749,0.0,0.300265,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p02_landscape_seed1337.png
1.0,p03_abstract,42,4.378,0.310034,0.0,0.461921,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p03_abstract_seed42.png
1.0,p03_abstract,123,6.218,0.318067,0.0,0.641937,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p03_abstract_seed123.png
1.0,p03_abstract,456,4.507,0.318375,0.0,0.299526,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p03_abstract_seed456.png
1.0,p03_abstract,789,6.334,0.336278,0.0,0.198327,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p03_abstract_seed789.png
1.0,p03_abstract,1337,6.044,0.332444,0.0,0.232336,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p03_abstract_seed1337.png
1.0,p04_text,42,5.925,0.329363,0.0,0.473212,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p04_text_seed42.png
1.0,p04_text,123,6.184,0.28335,0.0,0.375944,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p04_text_seed123.png
1.0,p04_text,456,4.525,0.308107,0.0,0.603632,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p04_text_seed456.png
1.0,p04_text,789,5.047,0.341374,0.0,0.432702,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p04_text_seed789.png
1.0,p04_text,1337,6.117,0.285843,0.0,0.463045,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p04_text_seed1337.png
1.0,p05_texture,42,6.578,0.323053,0.0,0.31725,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p05_texture_seed42.png
1.0,p05_texture,123,6.19,0.290673,0.0,0.249748,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p05_texture_seed123.png
1.0,p05_texture,456,6.423,0.346368,0.0,0.512981,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p05_texture_seed456.png
1.0,p05_texture,789,5.991,0.316857,0.0,0.189282,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p05_texture_seed789.png
1.0,p05_texture,1337,6.278,0.318276,0.0,0.148422,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p05_texture_seed1337.png
1.0,p06_arch,42,6.211,0.310248,0.0,0.526861,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p06_arch_seed42.png
1.0,p06_arch,123,6.334,0.31605,0.0,0.42267,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p06_arch_seed123.png
1.0,p06_arch,456,6.396,0.314329,0.0,0.541555,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p06_arch_seed456.png
1.0,p06_arch,789,7.271,0.274568,0.0,0.299933,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p06_arch_seed789.png
1.0,p06_arch,1337,6.115,0.340474,0.0,0.578944,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p06_arch_seed1337.png
1.0,p07_hands,42,6.025,0.340589,0.0,0.532981,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p07_hands_seed42.png
1.0,p07_hands,123,6.035,0.331844,0.0,0.529567,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p07_hands_seed123.png
1.0,p07_hands,456,6.184,0.29378,0.0,0.383622,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p07_hands_seed456.png
1.0,p07_hands,789,6.058,0.316232,0.0,0.317437,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p07_hands_seed789.png
