condition,prompt_id,seed,latency_s,peak_vram_mb,clip_score,hps_score,ir_score,lpips,image_path
nf4,p01_portrait,456,15.105,2610.6,0.377298,0.340088,1.496156,0.150495,reports/experiments/exp1_sdxl/images/nf4/p01_portrait_seed456.png
nf4,p01_portrait,789,14.97,2610.6,0.370677,0.350586,1.387814,0.116398,reports/experiments/exp1_sdxl/images/nf4/p01_portrait_seed789.png
nf4,p01_portrait,1337,15.004,2610.6,0.371976,0.350586,1.63567,0.24613,reports/experiments/exp1_sdxl/images/nf4/p01_portrait_seed1337.png
nf4,p02_landscape,42,15.028,2610.6,0.337929,0.274902,1.164719,0.167984,reports/experiments/exp1_sdxl/images/nf4/p02_landscape_seed42.png
nf4,p02_landscape,123,15.145,2610.6,0.347197,0.307373,1.083405,0.219088,reports/experiments/exp1_sdxl/images/nf4/p02_landscape_seed123.png
nf4,p02_landscape,456,15.019,2610.6,0.333637,0.253174,0.721115,0.223916,reports/experiments/exp1_sdxl/images/nf4/p02_landscape_seed456.png
nf4,p02_landscape,789,15.139,2610.6,0.342095,0.264893,1.084569,0.173116,reports/experiments/exp1_sdxl/images/nf4/p02_landscape_seed789.png
nf4,p02_landscape,1337,14.834,2610.6,0.336902,0.25708,0.980964,0.223253,reports/experiments/exp1_sdxl/images/nf4/p02_landscape_seed1337.png
nf4,p03_abstract,42,15.11,2610.6,0.323712,0.224121,0.102955,0.3391,reports/experiments/exp1_sdxl/images/nf4/p03_abstract_seed42.png
nf4,p03_abstract,123,15.122,2610.6,0.307923,0.231812,0.142138,0.534764,reports/experiments/exp1_sdxl/images/nf4/p03_abstract_seed123.png
nf4,p03_abstract,456,14.898,2610.6,0.307101,0.210449,-0.310737,0.329422,reports/experiments/exp1_sdxl/images/nf4/p03_abstract_seed456.png
nf4,p03_abstract,789,15.213,2610.6,0.315927,0.223511,-0.063797,0.403399,reports/experiments/exp1_sdxl/images/nf4/p03_abstract_seed789.png
nf4,p03_abstract,1337,15.201,2610.6,0.333226,0.232788,0.14407,0.384352,reports/experiments/exp1_sdxl/images/nf4/p03_abstract_seed1337.png
nf4,p04_text,42,15.14,2610.6,0.285036,0.251953,0.56246,0.410869,reports/experiments/exp1_sdxl/images/nf4/p04_text_seed42.png
nf4,p04_text,123,15.053,2610.6,0.285146,0.280029,0.65456,0.540861,reports/experiments/exp1_sdxl/images/nf4/p04_text_seed123.png
nf4,p04_text,456,15.131,2610.6,0.310057,0.281494,0.625299,0.352394,reports/experiments/exp1_sdxl/images/nf4/p04_text_seed456.png
nf4,p04_text,789,15.046,2610.6,0.298118,0.275879,0.419815,0.471692,reports/experiments/exp1_sdxl/images/nf4/p04_text_seed789.png
nf4,p04_text,1337,15.188,2610.6,0.283307,0.266113,1.04736,0.335442,reports/experiments/exp1_sdxl/images/nf4/p04_text_seed1337.png
nf4,p05_texture,42,14.982,2610.6,0.320485,0.23999,-0.608126,0.3161,reports/experiments/exp1_sdxl/images/nf4/p05_texture_seed42.png
nf4,p05_texture,123,14.812,2610.6,0.343613,0.22522,0.275639,0.306021,reports/experiments/exp1_sdxl/images/nf4/p05_texture_seed123.png
nf4,p05_texture,456,14.811,2610.6,0.321651,0.251953,-0.502785,0.345101,reports/experiments/exp1_sdxl/images/nf4/p05_texture_seed456.png
nf4,p05_texture,789,14.896,2610.6,0.312592,0.222778,-0.371718,0.406952,reports/experiments/exp1_sdxl/images/nf4/p05_texture_seed789.png
nf4,p05_texture,1337,15.159,2610.6,0.322903,0.26001,1.272871,0.297845,reports/experiments/exp1_sdxl/images/nf4/p05_texture_seed1337.png
nf4,p06_arch,42,15.105,2610.6,0.328314,0.292969,0.135643,0.475357,reports/experiments/exp1_sdxl/images/nf4/p06_arch_seed42.png
nf4,p06_arch,123,15.144,2610.6,0.337787,0.316406,0.118793,0.295775,reports/experiments/exp1_sdxl/images/nf4/p06_arch_seed123.png
nf4,p06_arch,456,15.173,2610.6,0.319603,0.311523,0.127229,0.342312,reports/experiments/exp1_sdxl/images/nf4/p06_arch_seed456.png
nf4,p06_arch,789,15.19,2610.6,0.334442,0.296631,0.183128,0.439451,reports/experiments/exp1_sdxl/images/nf4/p06_arch_seed789.png
nf4,p06_arch,1337,15.142,2610.6,0.341308,0.322266,-0.028052,0.29051,reports/experiments/exp1_sdxl/images/nf4/p06_arch_seed1337.png
nf4,p07_hands,42,15.113,2610.6,0.328745,0.278076,0.26147,0.335711,reports/experiments/exp1_sdxl/images/nf4/p07_hands_seed42.png
nf4,p07_hands,123,15.159,2610.6,0.315308,0.255615,-0.288059,0.314556,reports/experiments/exp1_sdxl/images/nf4/p07_hands_seed123.png
nf4,p07_hands,456,14.995,2610.6,0.340818,0.272461,0.518782,0.376388,reports/experiments/exp1_sdxl/images/nf4/p07_hands_seed456.png
nf4,p07_hands,789,14.755,2610.6,0.309674,0.279541,0.224125,0.384427,reports/experiments/exp1_sdxl/images/nf4/p07_hands_seed789.png
nf4,p07_hands,1337,14.774,2610.6,0.309798,0.243896,-0.026854,0.14327,reports/experiments/exp1_sdxl/images/nf4/p07_hands_seed1337.png
nf4,p08_crowd,42,14.925,2610.6,0.334424,0.302979,1.482757,0.261708,reports/experiments/exp1_sdxl/images/nf4/p08_crowd_seed42.png
nf4,p08_crowd,123,14.826,2610.6,0.330293,0.301514,1.638968,0.333368,reports/experiments/exp1_sdxl/images/nf4/p08_crowd_seed123.png
nf4,p08_crowd,456,15.001,2610.6,0.326862,0.302734,1.57008,0.263026,reports/experiments/exp1_sdxl/images/nf4/p08_crowd_seed456.png
nf4,p08_crowd,789,15.146,2610.6,0.331857,0.311035,1.396827,0.232576,reports/experiments/exp1_sdxl/images/nf4/p08_crowd_seed789.png
nf4,p08_crowd,1337,15.132,2610.6,0.307281,0.286377,1.469267,0.287319,reports/experiments/exp1_sdxl/images/nf4/p08_crowd_seed1337.png
