alpha,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,image_path
0.75,p06_arch,123,17.242,0.278104,0.182007,-2.026763,0.481644,reports/experiments/exp8_sdxl/images/alpha_0.75/p06_arch_seed123.png
0.75,p06_arch,456,17.266,0.343426,0.211426,-0.16111,0.42167,reports/experiments/exp8_sdxl/images/alpha_0.75/p06_arch_seed456.png
0.75,p06_arch,789,17.169,0.337735,0.22229,-0.298775,0.458647,reports/experiments/exp8_sdxl/images/alpha_0.75/p06_arch_seed789.png
0.75,p06_arch,1337,17.224,0.356887,0.245483,1.113011,0.532745,reports/experiments/exp8_sdxl/images/alpha_0.75/p06_arch_seed1337.png
0.75,p07_hands,42,17.17,0.292532,0.216919,0.856374,0.389863,reports/experiments/exp8_sdxl/images/alpha_0.75/p07_hands_seed42.png
0.75,p07_hands,123,17.291,0.315463,0.200073,0.253873,0.48571,reports/experiments/exp8_sdxl/images/alpha_0.75/p07_hands_seed123.png
0.75,p07_hands,456,17.349,0.268544,0.200195,-0.158358,0.539597,reports/experiments/exp8_sdxl/images/alpha_0.75/p07_hands_seed456.png
0.75,p07_hands,789,17.3,0.321051,0.226074,0.493824,0.504153,reports/experiments/exp8_sdxl/images/alpha_0.75/p07_hands_seed789.png
0.75,p07_hands,1337,17.385,0.310768,0.15918,-0.188816,0.289712,reports/experiments/exp8_sdxl/images/alpha_0.75/p07_hands_seed1337.png
0.75,p08_crowd,42,17.229,0.367412,0.263916,1.676051,0.358722,reports/experiments/exp8_sdxl/images/alpha_0.75/p08_crowd_seed42.png
0.75,p08_crowd,123,17.225,0.33981,0.26001,0.69684,0.335224,reports/experiments/exp8_sdxl/images/alpha_0.75/p08_crowd_seed123.png
0.75,p08_crowd,456,17.251,0.375481,0.253174,1.635153,0.347837,reports/experiments/exp8_sdxl/images/alpha_0.75/p08_crowd_seed456.png
0.75,p08_crowd,789,17.252,0.364018,0.278809,1.705377,0.349314,reports/experiments/exp8_sdxl/images/alpha_0.75/p08_crowd_seed789.png
0.75,p08_crowd,1337,17.198,0.378864,0.240356,1.13884,0.42975,reports/experiments/exp8_sdxl/images/alpha_0.75/p08_crowd_seed1337.png
1.0,p01_portrait,42,17.199,0.363237,0.244629,-0.325098,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p01_portrait_seed42.png
1.0,p01_portrait,123,17.238,0.291324,0.172729,-1.401984,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p01_portrait_seed123.png
1.0,p01_portrait,456,17.182,0.33663,0.228394,0.051271,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p01_portrait_seed456.png
1.0,p01_portrait,789,17.271,0.309593,0.220337,0.165532,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p01_portrait_seed789.png
1.0,p01_portrait,1337,17.229,0.332661,0.214478,-0.488707,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p01_portrait_seed1337.png
1.0,p02_landscape,42,17.147,0.360539,0.259277,1.293144,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p02_landscape_seed42.png
1.0,p02_landscape,123,17.22,0.369684,0.246948,0.771712,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p02_landscape_seed123.png
1.0,p02_landscape,456,17.158,0.36026,0.260254,1.290964,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p02_landscape_seed456.png
1.0,p02_landscape,789,17.325,0.371353,0.249878,1.456159,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p02_landscape_seed789.png
1.0,p02_landscape,1337,17.237,0.350539,0.247803,1.277561,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p02_landscape_seed1337.png
1.0,p03_abstract,42,17.283,0.285196,0.215576,-0.310404,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p03_abstract_seed42.png
1.0,p03_abstract,123,17.332,0.310048,0.239746,0.38422,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p03_abstract_seed123.png
1.0,p03_abstract,456,17.323,0.312413,0.237305,0.930112,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p03_abstract_seed456.png
1.0,p03_abstract,789,17.176,0.278049,0.232422,-0.947887,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p03_abstract_seed789.png
1.0,p03_abstract,1337,17.129,0.310061,0.24292,0.698957,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p03_abstract_seed1337.png
1.0,p04_text,42,17.213,0.317022,0.188965,0.350565,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p04_text_seed42.png
1.0,p04_text,123,17.159,0.305007,0.185059,-0.286683,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p04_text_seed123.png
1.0,p04_text,456,17.262,0.332467,0.247559,1.111642,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p04_text_seed456.png
1.0,p04_text,789,17.345,0.291477,0.214722,0.3142,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p04_text_seed789.png
1.0,p04_text,1337,17.292,0.340935,0.19812,0.300993,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p04_text_seed1337.png
1.0,p05_texture,42,17.308,0.324638,0.19812,-1.645574,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p05_texture_seed42.png
1.0,p05_texture,123,17.223,0.341736,0.218018,0.098704,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p05_texture_seed123.png
1.0,p05_texture,456,17.282,0.315255,0.240967,-0.524287,0.0,reports/experiments/exp8_sdxl/images/alpha_1.0/p05_texture_seed456.png
